"","EIF4EBP1","EIF4EBP1","EIF4EBP1","EIF4EBP1","TP53BP1","ARAF","CTNNB1","AR","ATM","BAD","BAK1","BAX","BCL2","BCL2L1","CTNNB1","CTNNB1","BID","BCL2L11","BCL2L11","BRCA2","JUN","RAF1","RAF1","RAF1","CASP7","CAV1","CDK1","CHEK1","CHEK1","CHEK2","CHEK2","BIRC2","CLDN7","COL6A1","CCNB1","CCNE1","CCNE2","CDH1","EGFR","EGFR","EGFR","ESR1","ESR1","MAPK1","FN1","FOXM1","GAPDH","GATA3","GSK3B","ERBB2","ERBB2","ERBB3","ERBB3","INPP4B","MAPK8","XRCC5","MAP2K1","MAP2K1","MTOR","MTOR","MYH11","CDH2","CDKN1B","CDKN1B","CDKN1B","MAPK14","MAPK14","MAPK14","TP53","RPS6KB1","RPS6KB1","RPS6KA1","RPS6KA1","RPS6KA1","SERPINE1","PCNA","PGR","AKT1S1","PTEN","RAD50","RAD51","RB1","RB1","RBM15","RPS6","RPS6","SHC1","SRC","SRC","SRC","TSC2","TSC2","XRCC1","YBX1","YBX1"
"ACH-000116",-0.816164,-0.073758,-0.778296,0.027129,-0.035693,-0.270167,0.71226,-0.021445,-0.574133,0.199295,0.078156,-0.027866,0.165031,0.710613,0.938573,0.120794,0.174255,0.735636,0.639963,0.045272,-0.554682,-1.180094,-0.192875,-0.152875,0.508365,-1.124536,0.025358,-0.032559,-0.290046,0.409844,-0.117119,0.201766,2.363942,0.194604,-0.41821,0.757294,-0.113445,1.847641,0.569712,-0.048068,0.018525,-0.015863,-0.060533,0.221021,-0.624029,0.017409,0.735376,0.059972,-0.190767,0.879154,0.29568,0.706103,-0.011994,-0.805692,-0.379369,-0.041714,-0.581959,0.241774,-0.43844,0.274295,0.598307,0.659895,-0.18721,0.131907,-0.369073,0.182518,0.235636,-0.911481,-0.672502,0.022696,0.093214,0.007783,-0.060155,0.628982,-1.344634,0.568716,-0.578351,0.032451,0.069618,0.320563,-0.190043,-0.367274,-1.441862,0.16295,0.959354,0.912187,-0.099117,-0.724335,-0.272936,-1.088308,0.153818,-0.284817,0.115137,0.134853,-0.121517
"ACH-000117",-0.476565,-0.176455,-0.308049,-0.212048,0.184575,0.160984,0.06741,0.862241,-0.832474,-0.210757,-0.04134,-0.380702,-0.45786,0.541722,0.19298,0.106088,0.012863,0.204976,0.111656,-0.031616,-0.211168,-0.003905,-0.001528,0.173761,0.226991,-2.759835,-0.157843,-0.399979,0.186949,-0.137664,-0.294344,-0.198129,3.261222,-0.294825,0.253676,-0.075908,0.601286,3.654276,-1.104304,3.060756,-0.016417,2.037935,0.084653,-0.189489,-0.733925,0.105779,0.13202,1.470487,-0.112984,5.117843,4.703067,1.392883,1.378349,-0.045824,0.102098,-0.142851,-0.061258,-0.064826,0.497914,0.729729,-0.326116,-0.042403,-0.084304,-0.065343,0.292071,-0.088547,0.013624,0.041926,-0.820533,1.325916,1.593249,-0.150859,0.006891,0.302169,-0.862101,-0.20998,-0.084607,0.681415,1.050144,0.180717,0.05679,0.161806,0.519335,-0.622666,1.218716,1.777055,0.274094,-0.352113,0.120841,-0.017709,0.040741,0.378723,0.402162,-0.136761,-0.160195
"ACH-000123",-0.076628,0.157096,0.114749,-0.179283,0.989103,-0.100545,-0.278788,-0.095318,0.010028,-0.088751,-0.201493,1.139325,-0.900496,0.296389,-0.835312,-0.222326,0.017747,-1.072326,-0.834518,-0.038826,-0.493185,0.499573,0.335019,0.123496,0.770468,-1.210176,0.443328,0.129098,-0.309573,0.539203,-0.096306,0.115755,-0.633921,0.072438,0.269898,1.21574,0.092507,-0.785901,-0.832976,-0.513656,-0.036154,-0.303924,-0.183156,0.488787,-0.9064,-0.570516,1.392498,0.296352,-0.328585,0.088651,-0.171177,-0.37287,-0.04304,-0.445135,0.029097,-0.046936,0.2285,0.545418,-0.219443,0.233957,1.240795,0.231877,0.114997,-0.027872,-0.125037,0.135425,0.333348,0.649132,-0.310754,1.646632,1.435324,-0.015227,0.113545,-0.136873,-1.409031,0.159205,-0.246127,0.355486,0.856139,0.210147,0.024559,-0.208761,-0.125383,0.073996,0.415591,0.903142,-0.06597,-0.81539,-0.224912,-0.23171,0.186601,0.008641,-0.286785,0.182735,-0.008433
"ACH-000132",-0.311179,-0.031547,-0.229144,-0.178038,-0.528344,-0.295127,0.182039,1.697194,0.280066,0.215206,-0.025555,-0.627509,-0.397559,-0.310809,0.360782,-0.19674,-0.158716,-0.664364,-0.73082,-0.133245,0.275529,0.701272,1.10169,0.981744,-0.077389,3.076078,0.179133,-0.619634,-0.287875,-0.744586,-0.233401,0.438271,0.678755,0.132606,-0.172653,-0.746096,-0.177929,1.571112,0.528814,-0.161539,-0.144211,0.038074,-0.109214,0.249727,1.483069,0.804053,0.115771,0.059659,0.292342,-0.29835,-0.186206,0.265601,-0.092727,-0.164746,-0.139758,-0.067872,0.123614,0.669994,0.122325,0.064123,0.148858,0.589117,0.505555,-0.167318,0.048533,0.051554,0.092747,0.246325,-0.459247,-0.226408,0.179316,-0.17998,0.103578,0.911051,1.693283,-0.054125,-0.209884,0.365019,0.471513,0.433117,-0.116264,-0.015913,0.293068,-0.440393,0.883764,0.925845,0.038791,-0.835294,-0.059243,-0.370117,0.347561,0.548557,-0.281483,-0.101899,0.1267
"ACH-000147",0.26328,0.627995,0.849992,0.101286,-0.101737,0.849479,0.500793,1.415153,0.650905,-0.387405,-0.036599,-0.701146,-0.02892,-0.15945,0.22665,0.02319,-0.210305,-1.187222,-0.794811,-0.017113,-0.517653,1.255646,0.69549,0.210756,-0.245627,-2.793112,-0.47627,0.619726,-0.265011,-0.072163,-0.007664,0.722483,2.366653,-0.679115,1.050189,-0.240521,0.374939,4.273161,-1.170136,-0.483495,-0.116162,3.394685,0.37154,-0.310598,-0.825923,-0.183209,-1.462537,3.724395,0.611123,0.664268,-0.004278,0.955863,-0.211259,0.571503,-0.493535,-0.152967,-0.500995,-0.540935,0.604038,0.235921,-0.474902,-0.624118,0.300535,0.23469,0.109687,0.261812,0.554899,-0.645236,0.865772,0.284774,0.035438,0.052161,-0.103465,0,-0.537346,-0.18557,0.831344,-0.287119,1.087024,0.339824,0.270499,-0.189739,0.259249,-0.422961,0.400287,0.155673,0.141026,0.571777,-0.634902,0.228149,0.536545,-0.350898,0.00092,-0.143582,-0.567909
"ACH-000148",1.055208,0.115582,0.907445,0.513034,-0.030658,1.074984,0.543149,0.050503,-0.765217,0.433904,0.0601,0.168585,-0.364353,-0.202371,0.471472,-0.052071,-0.173657,-1.357922,-0.60524,-0.070266,0.150396,-0.068185,-0.007006,-0.551323,-0.480589,4.201512,-0.204783,-1.068737,-0.232881,-0.096987,0.206908,0.173611,-0.204474,0.386683,-1.552974,0.011825,-0.331808,-0.652304,0.099764,-0.805224,0.089529,0.158626,0.115388,0.167816,3.312082,-1.215359,-1.496004,0.34202,0.38421,-0.705485,-0.361921,-0.114921,0.066501,0.226116,-0.141589,-0.509278,-0.557546,-0.40093,-0.091142,-0.143171,0.509313,0.937605,0.229751,-0.008202,0.215191,-0.07144,-0.556895,-1.092374,0.61148,-0.339264,-0.573573,-0.524136,0.045756,-0.54717,3.727458,-0.899975,0.389025,0.056772,-0.220603,0.152978,-0.740389,-0.112282,-2.224711,0.179704,-1.168398,-1.193003,-0.297414,0.402802,-0.545438,0.23525,-0.932985,-0.402827,-0.230361,0.319404,-0.531897
"ACH-000196",-0.072254,-0.02885,0.289218,-0.092547,-1.078697,-0.245164,0.256199,0.115082,-0.848222,-0.085401,0.073288,-0.414762,1.017835,-0.390072,0,0.085635,-0.165142,2.065849,1.655453,0.266251,0.594492,-0.098158,0.147316,0.033192,-0.329079,-3.181656,-0.240617,0.595614,0.677857,0.100689,0.256423,-0.261641,2.10833,-0.276796,0.865353,2.011929,0.513058,3.426813,-0.553554,0.932201,-0.065104,0.535018,0.174262,-0.261132,-0.76279,1.030435,-1.05672,-0.324883,0.519458,0.850309,0.837727,1.558377,0.178813,-0.076358,0.110344,-0.124739,-0.247033,-0.794697,-0.655949,-0.307337,-0.094329,-0.577926,-0.040101,-0.118344,-0.100809,0.028265,0.164026,-0.798478,-0.473315,-0.039002,0.546655,0.057649,0.169979,-0.166264,-0.855308,-0.512418,-0.065523,0.045449,-0.224122,0.017152,-0.111272,-0.249947,0.098156,0.377325,-1.562265,-1.40511,0.777646,0.420781,0.883801,0.986087,0.192514,0.62969,0.061485,-0.166616,-0.228011
"ACH-000212",1.616594,2.239583,1.927073,0.813771,-0.257543,-0.029773,-0.12107,-0.014045,0.333556,0.376822,-0.215256,-0.282356,0.374631,-0.125939,-0.429357,0.131535,-0.247025,-0.736877,-0.569564,0.140045,0.276443,0.524122,0.259736,0.081363,-0.631943,3.010157,0.038374,0.05655,-0.245566,-0.195083,-0.0824,-0.028144,-0.43191,-0.211594,0.576471,0.486897,-0.396051,0.26305,0.595745,-0.139121,-0.044034,0.291246,-0.053951,-0.450911,0.700398,0.215828,-0.586881,0.615944,0.376663,-0.409746,-0.212633,0.173045,0.131047,1.008182,-0.048728,0.030752,-0.075684,0.439696,0.635436,0.534274,0.578953,-0.016582,0.668323,-0.005472,-0.177679,-0.056129,0.129913,0.931428,-0.50978,-0.171646,0.936118,-0.576695,-0.133265,0.409748,2.601159,-0.601172,-0.010617,0.79788,-0.121124,-0.082211,-0.307799,-0.536317,-1.128028,-0.674597,1.807115,0.88665,0.359305,-0.125154,0.065063,-0.117039,0.21105,0.31184,-0.053325,0.197539,0.775375
"ACH-000223",-0.829217,-0.776656,-1.180791,-0.404271,-0.653003,0.043485,0.633018,-0.170272,-0.757518,0.125762,0.027299,-0.49569,-0.137519,0.337143,0.15134,0.358647,-0.05658,0.51458,0.370341,0.241718,-0.287481,-0.706825,-0.180736,-0.035117,0.532604,2.164975,-0.12256,0.306981,0.397591,0.485192,0.439777,-0.172642,2.362862,-0.222895,0.197701,0.053619,0.953973,3.792541,-0.24365,-0.595115,-0.111335,0.444502,-0.169328,-0.026435,-0.44229,0.286969,0.480025,0.843092,-0.16374,0,-0.153997,-0.237804,-0.116877,0.114224,-0.273586,-1.060026,0.359239,0.027744,-0.166951,0.203298,-0.006302,-0.160217,-0.070747,0.135334,0.032521,0.104346,-0.217554,-0.392498,-0.218206,-0.354244,0.482172,0.056732,-0.221032,0.112944,0.367762,0.354486,0.14303,-0.144181,-2.645179,0.876262,0.711395,-0.708397,-1.565237,0.461695,0.815484,1.109627,0.154804,-0.008003,-0.29703,-0.530676,-0.419644,-0.122029,0.157277,-0.050909,-0.268788
"ACH-000237",-0.539491,0.187324,-0.188992,-0.001635,0.444671,-0.098684,0.227533,1.657485,1.476492,0.062946,0.173413,-0.126609,-0.223326,-0.373328,0.5217,0.017047,-0.039068,-0.711899,-0.560787,-0.16289,0.39593,0.327285,0.343062,0.419597,-0.284363,2.181825,-0.068247,-0.146732,-0.123377,-0.466374,0.094647,-0.052726,-0.141083,0.385681,-0.831529,-0.006067,-0.103547,-0.604762,0.517926,-0.071591,-0.116027,0,-0.018214,-0.212245,1.227679,-0.316222,0.647896,0.077062,0.435072,-0.063187,0.16683,-0.413901,0.041077,-0.109654,0.090495,-0.808946,-0.1548,0.772635,0.013255,0.321848,0.358434,0.699199,0.872565,-0.031406,0.217708,-0.064134,-0.128831,0.412794,-0.319629,-0.500633,0.716911,0.047316,0.351562,1.104783,2.588015,-0.366967,-0.263593,0.563242,-3.298482,-0.22078,-0.404583,-0.011882,-0.490405,-0.084122,0.823719,0.522798,-0.049066,0.886321,0.040016,0.626207,0.059759,0.667484,-0.057225,0.052806,0.865545
