"","EIF4EBP1","EIF4EBP1","EIF4EBP1","EIF4EBP1","TP53BP1","ARAF","CTNNB1","AR","ATM","BAD","BAK1","BAX","BCL2","BCL2L1","CTNNB1","CTNNB1","BID","BCL2L11","BCL2L11","BRCA2","JUN","RAF1","RAF1","RAF1","CASP7","CAV1","CDK1","CHEK1","CHEK1","CHEK2","CHEK2","BIRC2","CLDN7","COL6A1","CCNB1","CCNE1","CCNE2","CDH1","EGFR","EGFR","EGFR","ESR1","ESR1","MAPK1","FN1","FOXM1","GAPDH","GATA3","GSK3B","ERBB2","ERBB2","ERBB3","ERBB3","INPP4B","MAPK8","XRCC5","MAP2K1","MAP2K1","MTOR","MTOR","MYH11","CDH2","CDKN1B","CDKN1B","CDKN1B","MAPK14","MAPK14","MAPK14","TP53","RPS6KB1","RPS6KB1","RPS6KA1","RPS6KA1","RPS6KA1","SERPINE1","PCNA","PGR","AKT1S1","PTEN","RAD50","RAD51","RB1","RB1","RBM15","RPS6","RPS6","SHC1","SRC","SRC","SRC","TSC2","TSC2","XRCC1","YBX1","YBX1"
"ACH-000248",-0.982703,-0.559906,-1.254418,-0.390565,0.095034,0.300067,-0.387345,0.705149,-0.300033,-0.21833,0.080345,-0.814839,-0.023511,0.13617,-3.562604,0.110808,0.036411,0.493102,0.399528,0.380039,-0.153977,-0.900688,-0.647515,-0.015915,0.205855,-2.532068,-0.360708,-0.708406,0.083507,0.05513,0.21033,-0.357771,1.801239,-0.174096,-0.997379,0.066984,-0.146326,-0.232386,-0.233529,2.48469,-0.016246,0.373874,0.106836,0.054047,-0.927207,-0.510189,1.481835,0.059786,-0.311048,4.671134,4.203564,0.722092,0.432186,0.668802,0.030838,-0.599422,-0.60317,-0.166774,0.07934,0.226541,-0.355571,0.163542,0.07772,0.447108,0.060087,-0.2688,-0.430425,-0.539441,0.282204,-0.48645,-0.319378,0.271525,0.116385,0.444764,-0.193912,-0.171288,0.111238,-0.048055,0.091793,-0.045307,-0.261526,-0.310584,-0.678844,0.542125,0.29917,0.116263,0.399606,-0.477952,-0.181092,-0.803421,-0.664445,0.044849,-0.186325,0.086141,-0.221833
"ACH-000256",-0.93793,-0.143603,0.099393,0.054624,0.521599,0.021957,0.035075,0.00429,0.56459,-0.141303,0.077472,-0.43374,-0.106143,-0.040989,-0.184157,0.028572,-0.070553,-0.114242,-0.117294,-0.006667,0.534963,-0.275013,-0.253788,0.10831,0.020247,0.934282,0.0266,0.000356,0.02943,-0.022572,0.274277,-0.200143,-0.297925,0.448278,-0.152019,0.633797,-0.157386,0.277987,0.153848,0.838203,-0.001094,0.017067,0.032769,-0.773444,1.220333,-0.095387,-1.713083,-0.294004,-0.247452,-0.370349,0.273924,-0.253327,0.071162,-0.642878,0.431683,-0.176949,-0.551379,0.600978,0.055456,0.248699,0.632267,0.396772,-0.176972,0.016438,0.072598,-0.320522,-0.721445,-0.275318,0.162559,-0.570902,0.85845,-0.109886,0.197875,0.817049,1.780934,-0.209738,-0.139691,0.703491,-1.387018,-0.03354,0.297255,0.024386,-0.63729,0.585117,0.137806,-0.058431,0.28127,-0.157228,0.187759,-0.421427,0.130978,0.194101,0.097746,0.215985,0.457027
"ACH-000258",0.324853,0.077344,-0.238779,0.098976,0.776042,-0.202546,-0.478771,-0.189652,-0.140821,0.158656,0.13753,0.029198,0.171458,-0.410543,1.485479,-0.148561,-0.022315,0.781826,0.673897,-0.31904,0.002509,0.598011,0.443063,-0.109542,1.101507,-3.0816,-0.433833,0.579402,-0.145212,-0.496965,-0.317521,0.153573,0.696571,0.028558,0.188644,1.507299,1.25592,2.114749,-1.293557,-0.844647,0.016926,-0.136233,0.177039,-0.054951,-1.196525,-0.112344,0.296149,-0.276559,0.661608,-1.539456,-0.705641,0.024841,0.022534,-0.072432,-0.078923,-0.602832,0.242145,1.30361,0.004684,-0.132392,-0.181897,-0.550389,0.309689,-0.093695,-0.030742,0.367798,0.665946,-0.093065,-0.263537,-0.14423,-0.302546,0.804785,0.424125,0.797753,0.779611,0.353289,-0.048099,-0.385336,-0.37762,0.064845,-0.413988,-0.651463,0.428424,0.384968,-1.215722,-1.967621,0.421953,0.436103,0.656366,0.856826,0.319495,-0.40891,-0.395935,-0.251527,0.013273
"ACH-000276",-0.04823,0.473534,0.440982,0.134611,0.425856,0.159745,0.762245,-0.283404,-0.375959,-0.059835,-0.166032,-0.488071,-0.449038,-0.252849,1.123089,0.41913,-0.118288,0.202968,0.258863,-0.161627,-0.029356,0.791136,0.813711,0.235706,0.308151,1.000844,-0.205194,-0.911147,-0.133145,-0.118441,-0.11036,-0.047505,2.432642,0.384881,-0.744066,-0.53486,0.087239,3.941244,-0.610867,-0.541262,-0.059293,-0.159538,0.008828,0.648265,1.807147,-0.27648,-1.227717,0.603508,0.330469,1.164134,0.197117,0.691648,-0.063438,-0.107367,0.009993,0.256555,-0.593278,-0.477523,-0.066147,0.190994,-0.203644,-0.523319,0.128181,-0.102826,-0.171491,0.99154,-0.314223,-0.249627,0.917129,0.344797,0.449505,0.020572,0.334542,-0.30052,-0.167897,0.395756,-0.183038,0.269933,-3.196962,-0.138353,-0.013027,1.629944,0.581394,0.200934,0.291116,0.573551,0.234128,0.244862,-0.765666,-0.049933,-0.186615,0.120507,0.448258,-0.078334,0.082616
"ACH-000277",-0.190467,0.030607,0.082912,-0.044914,-0.850722,0.087116,0.213324,1.180039,-1.199857,0.328654,0.023913,-0.898076,0.183784,0.094994,0.535272,0.079659,-0.01251,-0.008762,0.010892,-0.13522,-0.257386,-0.913944,0.251246,-0.148876,0.13357,-3.238004,-0.359515,-0.853435,-0.155056,0.150103,0.084562,-0.201827,2.152775,-0.117785,-0.004923,-1.061972,0.713161,3.624909,-1.317258,4.497075,0.047911,2.03706,0.15401,0.123514,-1.278736,0.06454,1.029459,3.100642,0.206653,5.157089,5.278537,2.058272,1.395013,0.120519,-0.192275,-0.247452,-0.072537,-0.444104,0.332421,0.593198,-0.469841,-0.226796,0.383966,0.149366,0.345861,-0.094222,0.011913,0.087191,-0.412764,-0.247724,0.419724,0.624782,0.003242,-0.27014,-0.844633,-0.459049,0.073532,0.296799,0.337128,-0.520598,-0.212744,-0.284259,-0.052661,-0.238489,1.956689,1.963056,0.776256,-0.84088,0.733089,0.142311,0.243047,0.533128,0.202486,0.00471,-0.012904
"ACH-000278",0,0.780814,0.25414,0.071048,-0.361494,-0.116188,0.155944,-0.069828,-1.097789,0.107165,0.009865,-0.514316,-0.54922,0.739568,0.164998,0.065608,0.063594,0.057428,0.055461,0.279336,-0.129491,-0.151909,-0.091033,0.147352,0.15286,2.510946,0.094887,-0.239427,-0.191108,-0.394096,-0.213386,-0.410713,-0.046741,0.118933,-0.041519,0.050634,-0.158991,-0.538492,0.8514,0.219329,-0.043323,0.890722,-0.078696,-0.200216,0.596121,-0.04908,1.530801,0.074424,-0.415655,0.381643,-0.050141,-0.197257,-0.229534,0.160707,-0.032896,-0.432654,0.105918,0.423567,0.137197,0.487172,0.297047,0.515794,-0.232135,0.002598,-0.323743,-0.056088,0.122186,0.384106,1.475547,-0.149188,0.443331,-0.232179,-0.128847,0.774996,1.219508,-0.191198,-0.106183,-0.13971,0.420981,-0.154917,-0.245655,-0.691407,-1.743242,-0.508413,0.898284,0.672398,0.22857,-0.244591,-0.2162,-0.953035,-0.069667,-0.118668,-0.205803,0.40517,0.515913
"ACH-000280",-0.83443,0.07021,-0.244539,0.195401,-0.358044,0.082092,0.201457,-0.16222,-1.877512,-0.095673,0.082943,-0.704992,-0.490135,-0.698154,-0.797336,-0.637173,0.057087,-0.130592,-0.374009,0.563889,0.879863,-0.248412,-0.152329,0.541886,-0.452883,1.018921,-0.064367,0.028583,-0.106326,-0.974588,-0.056914,-0.078259,1.325826,0.16769,0.103295,0.058413,-0.004964,1.993929,0.184289,0.334958,0.031807,0.266562,-0.029948,-0.751272,2.716094,-0.272448,-0.527691,0.092488,0.175498,0.155138,0.658122,0.72501,0.146543,0.991717,0.074528,-0.590202,-0.280396,1.030575,-0.513089,0.038824,-0.019573,-0.256515,-0.107301,0.029647,0.008316,0.237405,-0.905468,-0.595213,-0.204443,0.125562,0.755327,-0.151405,0.179847,1.196967,3.783905,0.009066,-0.059555,0.35001,-0.574009,0.099454,0.196893,-0.040296,-0.191471,-1.053576,0.678849,0.454355,0.437112,0.41167,-0.0054,-0.257627,-0.085996,-0.264751,-0.000229,-0.236193,0.217275
"ACH-000291",-0.784797,-0.986249,-1.030674,-0.119115,-1.022109,-0.141908,0.838227,-0.117776,-0.614248,-0.304128,-0.098523,0.252251,-0.525521,1.092932,-0.146159,-0.179963,0.459919,-0.622951,-0.585146,0.640191,-0.807116,-1.001613,-0.722166,-0.252637,0.817199,-1.821961,0.189592,-0.083029,-0.073067,-0.287846,-0.177327,-0.146946,1.073942,0.066604,0.424791,0.580271,0.055955,2.726305,-0.426869,-0.364795,0.010423,0.048489,-0.11226,0.795493,4.059076,-1.173475,0.35315,0.212444,-0.897796,0.684009,-0.16175,-0.533427,0.067726,-1.071521,0.04549,-0.405656,0.825663,0.597938,-0.372418,0.055531,0.871454,0.32883,-0.090696,0.091966,-0.10506,0.260926,0.049965,0.024166,0.628982,0.726588,-0.34654,0.046635,-0.406719,-0.423924,1.596999,0.829942,-0.195493,-0.238194,0.48024,0.736412,0.205527,-0.223599,-0.410237,-0.012308,1.112265,1.36353,-0.112875,-0.316254,-0.114746,0.14029,-0.147289,-0.095181,-0.113879,0.609172,0.210244
"ACH-000308",-0.508999,-0.242104,-0.901306,-0.033525,0.812741,-0.011415,0.401519,-0.304821,1.340734,-0.191281,0.053119,-1.001597,0.013612,0.736374,1.145069,0.270543,0.110922,0.558883,0.316081,0.087864,0.050658,-1.285201,-0.954422,-0.130496,0.197538,3.599365,-0.57137,-0.306906,-0.134448,-0.239675,-0.109411,-0.225016,0.501311,0.044961,-0.486085,1.167769,0.507831,-0.558229,-0.212953,-0.171009,0.017669,-0.114669,-0.044428,-0.597835,-0.340296,-1.257067,-1.534817,0.107084,-1.092333,0.051455,-0.134903,-0.00217,-0.014009,0.089959,0.465471,0.192205,-0.348262,-0.324959,-0.547012,-0.187084,0.144928,0.471293,-0.077653,-0.003996,-0.092744,-0.526553,-1.002238,0,2.152274,-0.219737,-0.393784,0.066276,-0.121329,-0.430015,1.963613,-0.398515,0.15078,-0.705817,-0.769238,1.106508,-0.040922,-0.126778,-1.062741,0.483296,-0.195471,0.192769,0.17812,-0.418335,-0.278416,-0.607702,-0.563837,-0.176444,0.069679,0.206828,-0.192376
"ACH-000324",0.215894,-0.054818,-0.20009,-0.00042,0.050013,-0.237396,-0.14289,-0.099923,0.650036,0.11874,0.253979,0.208052,1.17532,0.077134,-0.004233,-0.125313,-0.101134,0.176174,-0.129007,-0.136262,0.478602,0.559557,0.608658,0.324665,-0.287097,2.285733,-0.239349,0.061794,-0.053692,-0.199613,0.119939,0.348654,0.132913,0.16777,-0.136988,0.315906,-0.004283,-0.227937,1.973502,0.691072,-0.105202,-0.157812,-0.165184,-0.179175,1.939641,0.036294,-1.739885,0.033205,0.245137,0.662033,0.916689,0.734327,-0.04719,-0.090448,0.021004,0.092497,-0.899058,-0.317196,-0.015593,-0.077602,0.660934,0.378444,-0.26118,-0.074723,-0.009404,-0.102586,-0.189759,0.236516,-0.184497,-0.513586,0.263407,0.877282,0.140859,0.437307,1.957712,-0.053,-0.348555,0.086057,-1.59176,-0.217037,0.448612,0.065703,0.033224,0.283229,0.719476,0.143202,0.161785,0.592436,-0.244953,0.03977,-0.216511,-0.122757,-0.037427,-0.06304,0.285237
"ACH-000330",-0.733436,-0.072159,-0.530829,-0.640215,0.427052,0.376038,0.121534,2.392176,-0.539475,-0.523906,0.274488,0.150042,-0.249459,-0.2767,-0.81538,-0.295201,-0.06927,0.322451,0.282816,0.162636,-0.293705,0.30971,-0.030463,0.302854,0.628492,-2.334979,-0.410225,0.273267,-0.081539,-0.21239,0.084183,-0.145418,2.360902,-0.582909,-0.550586,0.355018,0.606353,3.520232,-1.111208,-0.542657,0.040884,3.80542,0.697976,-0.746891,0.393737,-0.169398,-0.924699,3.465663,0.772507,1.417735,0.445831,0.953385,-0.104317,0.561561,-0.423515,0.01342,-0.494289,-0.674942,0.152436,0.154569,-0.23001,-0.539048,0.854557,0.277413,0.141836,0.361343,0.694351,-0.93,0.010079,0.777865,0.833782,-0.341783,-0.058786,-0.336195,-0.563899,0.120711,0.213805,-0.066572,-0.272758,-0.285919,0.086001,0.633503,0.555362,0.200106,0.302115,0.63208,-0.227724,1.07411,-0.617804,0.399266,0.447283,0.100056,0.390479,-0.194875,-0.611506
"ACH-000333",-0.772729,-0.522906,-0.186243,-0.109738,-1.368333,-0.133381,1.175007,-0.104857,-0.324962,0.346106,-0.099865,0.098654,-0.160568,0.001804,1.751841,0.096997,-0.229264,-0.04453,-0.176197,0.060799,0.357722,-0.149948,-0.110705,0.02066,1.163013,-1.956404,-0.026904,-0.128166,0.244917,-0.481895,0.006307,0.001496,4.055271,-0.024137,-0.247479,0.56978,0.33055,3.721677,-0.178094,0.673979,-0.085312,-0.187355,-0.014093,-0.213243,-0.979482,0.142715,-2.036244,-0.07565,0.295113,0.343043,0.693617,1.719543,0.046849,1.598119,0.410429,-0.995208,-0.002748,0.601665,-0.236327,0.116779,-0.99933,-0.442528,0.125892,-0.048075,-0.000672,0.070676,-0.16053,0.652067,0.251536,-0.687443,-0.231026,0.800105,0.7577,1.546797,0.424574,0.124885,-0.10361,0.132983,-0.184526,-0.104769,-0.09389,-0.394322,-0.899824,0.584708,0.641975,-0.1304,0.642197,1.246499,0.251988,1.16241,0.041604,0.134214,-0.140123,-0.266542,0.78637
"ACH-000349",-0.169227,0.147373,0.286818,-0.102718,-0.136381,0.409853,0.638971,3.113119,-3.676124,-0.265786,-0.109121,0.690932,3.292785,0.273678,0.470433,0.227604,0.014165,2.172787,1.786374,-0.042738,-0.096484,0.531802,0.197459,-0.275824,0.331443,-3.379585,-0.161598,-0.632548,0.037126,0.361268,-0.246321,0.232121,2.235428,0.524043,0.256694,-0.822129,0.372614,4.070718,-1.165421,-0.175307,0.003494,4.069878,0.905398,0.207614,-0.437919,-0.111973,-0.730941,4.34009,-0.321873,-0.028976,-0.056924,0.793366,0.039807,0.465865,0.201878,-0.375729,-0.372016,-0.693821,0.251037,0.327797,-0.176587,0.01447,0.645595,0.125144,0.033593,0.355502,0.526996,-0.475361,-0.13535,-0.199392,0.38681,0.04722,-0.281973,-0.702874,-0.535711,-0.110825,0.227352,-0.312068,0.98097,0.06545,-0.000592,-0.141335,-0.803396,0.255409,-0.070135,0.484781,0.263184,0.457454,-0.509442,0.25159,0.3765,0.307697,0.023256,-0.016367,-0.564714
"ACH-000352",0.190917,0.451019,1.116188,-0.029654,-0.522467,0.94817,0.740733,3.061327,-2.185905,0.127319,-0.147357,-0.352978,1.327418,0.075172,-0.266363,0.173182,-0.191301,1.870076,1.139944,0.085742,-0.099229,0.26246,0.219146,-0.086214,-0.072198,-2.604715,-0.384268,-0.084778,-0.01966,-0.139595,-0.203808,0.029742,1.799044,-0.042423,-0.475618,-0.042071,0.663181,4.60326,-1.001885,-0.647673,-0.226738,4.003636,1.617847,-0.647013,-0.484117,0.66867,2.488784,4.065766,0.454055,-0.422125,-0.385784,1.002532,-0.014211,0.465667,-0.010875,0.280372,0.155296,-0.372955,0.41099,0.266678,-0.4145,-0.464736,0.508375,0.087439,0.098038,0.661858,1.325642,0.340868,-0.518048,0.287857,1.020356,-0.137163,0.029804,0.313352,-0.495682,-0.352883,0.005368,-0.091078,0.836037,-0.510138,0.149922,-0.3757,-0.351694,0.049183,0.522379,0.742187,0.180248,1.070701,-0.057959,1.065407,0.288354,0.524303,0.192582,-0.024313,0
"ACH-000374",-0.703682,-0.359594,-0.303876,-0.230702,0.277621,0.675758,0.810479,-0.194998,-0.752577,0.09238,-0.095935,-0.024124,-0.362199,-0.044523,1.238024,0.368614,0.095299,1.691322,1.241057,0.051183,0.207816,-0.568618,-0.218949,-0.151996,0.933317,2.819102,-0.177237,-0.316822,0.107033,0.528781,0.611269,-0.349215,4.5384,0.648665,0.710473,-0.666603,0.123909,3.464331,1.186888,-0.03282,-0.123633,0.271148,-0.141449,0.094271,-0.08095,0.391145,-0.6987,0.411778,0.602979,-0.358529,-0.058575,0.26456,0.015169,-0.008264,-0.111623,-0.234646,0.271488,0.081528,-0.275986,-0.197915,0.15667,-0.027294,-0.321018,0.109767,-0.092745,1.509711,-0.627286,-0.66188,2.613408,-0.92966,-0.636388,0.012381,-0.160987,0.183674,1.631738,1.030231,0.001263,0.195725,0.071525,-0.129277,0.609912,2.000129,-0.110963,0.216206,-0.133933,0.1517,0.200997,0.231875,-0.628568,0.354536,-0.604601,-0.456442,0.274352,-0.190797,0.038861
"ACH-000409",-0.584066,-0.412272,-0.846503,0.20015,0.212642,0.055598,0.450243,1.737401,0.379067,-0.224317,-0.020706,-0.558147,0.122931,0.229781,0.247868,0.392808,-0.102338,0.395986,0.418838,0.107422,0.114056,-0.562627,-0.368479,0.030021,-0.251378,-2.469304,0.155501,-0.18818,0.196933,0.170129,0.47081,-0.130836,0.117847,-0.043119,0.244453,0.975347,0.000487,0.78325,-0.563579,0.368811,0.235471,2.255734,0.17055,-0.637202,-0.311945,-0.298756,-1.447424,-0.159389,-0.350009,-0.199091,0.314318,-0.357158,-0.02411,-0.307504,-0.171595,-0.396497,-0.763372,0.183235,0.293418,0.063819,-0.572121,0.278699,-0.05177,-0.091025,0.025133,0.129292,0.248166,-0.477252,-0.092321,-0.981041,0.022127,0.486277,0.282107,0.392484,-0.292927,-0.276972,0.740638,-0.3845,0.252246,0.345688,0.102026,-0.045054,-1.007532,0.898426,-0.04481,-0.402488,0.538744,-1.166859,-0.266563,-1.422915,0.051303,-0.080071,0.320297,0.11014,-0.106277
"ACH-000430",1.020146,0.273709,0.726061,-0.102645,0.707654,-0.186141,0.094057,0.142947,0.104266,-0.101832,0.718812,-0.263063,-0.047788,0.358472,1.058598,0.257881,0.214232,-0.351264,-0.17161,0.010034,1.184639,0.223342,0.027085,0.125659,0.792077,2.981432,-0.348924,-0.054844,0.240731,0.870915,1.668001,-0.177133,0.455834,-0.12811,-0.433338,0.295022,-0.047498,-0.259229,0.139042,-0.219388,0.135968,-0.032179,0.312316,-0.464126,-0.343431,-0.842279,-0.407764,0.034192,-0.280396,-0.255409,-0.142857,-0.856495,0.217414,-0.659652,-0.003789,-0.299381,0.468473,0.518704,0.04332,-0.217259,0.028964,-0.156525,-0.113974,0.102227,0.007903,-0.650936,-0.790811,-0.51966,1.202927,0.216154,0.028771,-0.505491,-0.065446,-0.088021,3.79364,-0.278574,0.058253,-0.068494,-1.046325,0.304283,-0.502492,-0.12898,-0.442777,0.199392,-0.1658,-0.201713,0.29534,-0.904215,0.832361,2.282867,-0.845557,-0.250703,0.113971,0.444838,0.547768
"ACH-000443",-0.523677,-0.486883,-1.044489,-0.423081,-0.038454,0.445438,0.688418,0.456789,-0.590118,-0.066489,-0.055796,-0.304145,-0.245632,0.259638,0.873036,0.28206,0.038488,1.561121,1.338683,0.031312,-0.023215,-1.058481,-0.899097,-0.065419,0.442731,1.026301,0.015607,-0.069885,0.059331,-0.675775,-0.030187,-0.198668,2.076091,-0.038957,-0.955556,-0.185998,-0.026063,2.008078,0.576446,1.60247,0.277723,1.364227,0.133308,-0.558994,1.823925,-0.962035,-3.102436,-0.426271,-0.472541,0.049545,0.923258,1.091315,-0.007479,0.516241,0.136614,-0.424325,-0.573013,0.054188,0.290178,0.056734,-0.07645,-0.137065,-0.241745,-0.079906,0.238038,0.693453,-0.852488,-0.639342,0.471924,-0.392039,0.873228,-0.20039,-0.022154,0.180167,-0.364237,-0.345713,0.619371,-0.462927,-0.653807,0.249501,-0.219634,-0.006564,-1.320102,-0.14544,0.079292,0.009588,0.645197,-0.172801,0.054922,0.095264,0.184947,0.139826,0.202804,0.16534,-0.045045
"ACH-000460",-0.74856,-0.536546,0.35807,-0.004936,-0.149483,0.058778,0.372056,-0.186415,-0.089212,-0.148639,-0.21975,-0.901372,-0.130071,-0.374587,-0.620276,-0.161475,-0.290191,0.457857,-0.130344,0.014618,0.942415,-0.281139,-0.260421,-0.150655,0.296233,-0.088889,0.634245,-0.244609,-0.271462,-0.422707,0.02554,0.087319,2.75944,-0.017828,0.593276,0.568189,-0.189029,2.227531,0.802603,0.152555,-0.171547,0.399583,-0.258502,-0.879638,4.053593,-0.180595,0.27322,0.270467,-0.111348,0.307211,0.735203,0.249445,0.046367,0.327362,0.0249,-0.19159,-0.669526,-0.020237,0.066892,0.206013,-0.072751,0.188904,-0.272142,-0.08718,0.044088,-0.145272,-0.721792,-0.665744,-0.287062,-0.537324,-0.320962,-0.072622,-0.10338,-0.129888,3.107459,-0.205319,-0.149576,-0.125612,-1.321653,-0.098871,-0.348475,-0.231939,-0.518435,-0.526911,-0.009211,-0.123816,0.1948,0.882128,-0.091125,-0.072924,0.018864,-0.035319,-0.038305,0.207048,-0.148751
"ACH-000520",-0.012451,0.095209,0.243744,0.220936,-0.918308,-0.033323,0.267478,1.041666,-0.200503,0.309277,-0.17462,-0.552128,-0.587891,-0.184292,0.316378,0.168905,-0.069892,-1.12215,-0.837498,0.143644,0.327227,-0.500801,-0.119629,0.039346,-0.315472,1.424723,0.014459,-0.133158,-0.089033,-0.056414,0.128045,0.063489,-0.069496,-0.032869,0.889659,-0.271652,-0.132283,-0.727109,0.236092,-0.159258,-0.088714,0.061299,0.094457,-0.047976,1.502263,-0.005838,-0.047414,-0.2491,-0.466013,-0.122494,0.026999,-0.362732,-0.12518,-0.327751,1.287218,0.205177,-0.058219,0.1691,-0.337144,0.135972,0.256596,0.752955,0.57747,-0.042283,0.199781,0.033716,0.112233,1.114624,-0.679234,-0.317932,0.060218,-0.122169,0.405007,0.92077,2.409393,-0.444616,-0.217527,-0.17901,0.045715,-0.075209,-0.451157,0.268513,0.164709,-0.923072,0.816139,0.51446,-0.137308,0.706034,0.566679,0.079273,0.013038,0.024196,-0.103573,0.055712,0.536919
"ACH-000524",-0.928834,-0.317348,-0.811373,-0.50151,0.830234,-0.269561,0.275197,-0.347415,0.436349,-0.126336,-0.000671,-0.365019,-0.058078,0.985527,1.163455,0.051215,0.012863,1.058855,0.706402,0.17826,-0.24074,-0.693534,-0.549041,0.06598,-0.271023,3.131783,-0.471837,-0.430502,-0.327423,0.498102,0.130309,-0.098318,0.082983,0.070388,-0.801318,1.112016,0.029928,-0.025038,-0.712449,0.201638,-0.027714,-0.296671,-0.116137,0.03565,1.35894,-0.433888,-0.680512,0.003234,-0.756951,0.70382,0.254598,-0.537249,-0.200663,-0.006959,-0.368735,0.529246,-0.751614,0.591389,0.596318,0.384722,0.732724,0.514445,-0.256833,-0.089222,-0.267081,0.034698,0.10218,-0.513318,3.123107,-0.502223,-0.093977,0.286607,-0.089289,0.739717,-0.222876,-0.122539,0.107085,-0.434603,-0.392236,0.838392,-0.463727,0.287291,-0.787687,-0.085931,-1.020374,-0.661747,0.496696,0.136852,-0.136921,0.177643,0.433277,0.027232,0.585722,0.114984,-0.177674
"ACH-000527",-1.229024,0.213116,-0.776623,-0.472723,0.220683,-0.232981,0.031062,-0.27852,-0.080979,-0.017016,0.06155,0.811184,-0.125099,0.812774,0.209741,-0.014301,0.333202,-0.73466,-0.341683,-0.251336,0.139221,-0.296456,0.000257,0.519341,-0.500585,1.599233,0.12285,-0.627481,-0.008712,-0.477092,-0.275259,-0.326457,4.252865,-0.614363,0.134121,2.258087,-0.004989,3.45335,1.826177,1.232414,0.053728,-0.267016,0.118737,-0.30455,0.305421,-0.759465,-1.641525,-0.659951,-0.21679,1.364899,0.807048,1.002879,0.367066,-0.482388,0.168001,-0.005889,-0.849216,0.421759,-0.066127,0.412782,-0.064904,0.068095,-0.0906,-0.202788,-0.092416,-0.186732,-0.200885,-0.175477,-0.088995,-0.551908,0.667017,0.563217,0.491646,1.038784,-0.328298,-0.157879,0.150856,0.159764,0.138926,0.785138,-0.539023,-0.266108,-0.689453,0.317617,0.656825,0.594967,0.50146,0.323673,0.395913,-0.064461,-0.155291,0.027855,0.201954,-0.174687,0.226603
"ACH-000536",-0.071538,-0.189922,-0.245781,0.136048,0.709461,0.834686,0.541024,-0.19269,-0.238141,0.195193,-0.4201,-0.104994,-0.178927,-0.963188,0.381017,0.145716,-0.162081,1.185298,1.021742,0.180902,-0.040451,-0.351863,-0.158924,0.311356,0.888978,-1.823543,0.193734,-0.638035,-0.041282,-0.021065,0.122694,-0.15227,2.69308,0.921129,-0.554442,-0.037905,-0.307383,3.797785,1.444334,0.159627,-0.16904,0.75006,-0.121777,-0.092564,-0.577698,-0.198386,1.632129,1.495213,0.527914,0.520833,0.204507,-0.034017,-0.028424,0.361548,-0.453494,-0.562319,0.81299,0.863386,-0.020091,0.285967,-0.258285,-0.716015,0.079816,0.12055,0.046077,0.135418,0.12968,0.003754,0.671243,-0.507804,-0.454425,0.151814,0.00149,0.755162,-1.188688,-0.207111,-0.099987,0.595178,-0.603718,-0.029303,-0.242378,-0.438125,-1.134436,-0.202799,-0.670653,-1.198753,0.524846,0.365647,0.339007,0.674698,-0.188518,0.916645,0.293556,-0.391478,-0.055709
"ACH-000542",0.053934,-0.427113,-0.080897,0.137203,-1.482667,-0.413701,-0.196619,-0.32003,1.146318,0.038206,0.136544,1.138698,-0.283255,0.639066,0.830241,0.251825,0.028964,-2.085208,-1.062342,0.235351,1.508869,-0.363958,0.041935,0.08891,-0.570116,2.775253,0.748226,-0.37847,-0.153741,-0.387586,-0.094547,0.231161,-0.553825,-0.165834,-0.661849,-0.259291,0.383202,-1.535958,1.786077,0.264103,0.009277,-0.360646,-0.012208,0.518217,1.622603,-0.453063,1.387324,-0.19461,-0.217761,0.086664,-0.28362,-0.100487,-0.144808,-0.147047,1.223095,0.601199,0.00832,0.741723,-0.22574,-0.033692,-0.167414,0.564827,-0.051913,-0.143321,-0.329393,-0.021506,0.10861,0.535114,-0.473479,-0.332816,-0.267754,-0.760776,0.078703,-0.052399,3.569389,-0.052222,-0.167372,-0.343831,0.852736,0.071123,-0.526869,0.34165,0.167425,0,0.393242,0.138639,-0.430473,0.444554,0.215166,1.264726,0.32597,0.117525,-0.309149,0.101817,-0.012904
"ACH-000554",0.461909,0.698914,0.702645,0.110398,-0.790954,0.674682,0.526867,1.086134,-1.210142,0.348708,-0.266239,-1.156668,0.124783,-0.567884,-0.067221,0.156237,-0.09006,0.89105,0.529367,0.158135,0.140355,-0.652745,-0.270381,0.274723,-0.130403,-2.642554,0.080432,-0.101363,-0.114242,-0.184889,0.22169,-0.323527,2.834494,0.891317,0.017192,-0.335215,0.022075,3.98067,-0.147998,3.623352,-0.00381,0.555196,-0.127073,-0.987492,-0.463876,0.43779,-0.48536,0.564172,0.779075,5.014069,4.204083,0.748227,0.487328,0.701713,0.46256,-0.48967,0.525596,0.607777,0.072207,0.5451,-0.420425,-0.401735,0.079889,0.369113,0.079805,-0.002842,0.137812,0.260348,0.006524,0.45649,2.058954,0.15608,0.412922,0.810611,-0.611628,-0.696845,0.006153,1.173527,-0.400043,-0.143377,0.687539,-0.561978,0.240226,-0.412235,1.109064,1.195179,1.042033,0.047503,0.373846,0.730262,-0.311224,0.836618,-0.498993,-0.138098,0.448448
