"","CDH2","AKT3","BCL2L11","RAD50","CDKN1B","CHEK1","CHEK2","COL6A1","CLDN7","MAPK14","CTNNB1","EGFR","EIF4EBP1","ERBB2","ERBB3","AKT1","AKT2","ESR1","FOXM1","FN1","MTOR","GAPDH","GATA3","GSK3A","GSK3B","BIRC2","AR","ARAF","JUN","MRE11","MYH11","ATM","YBX1","SERPINE1","PCNA","PGR","MAPK1","MAPK3","MAPK8","MAP2K1","BAD","PTEN","BAK1","BAX","RAD51","RAF1","RB1","BCL2","BCL2L1","RPS6","RPS6KA1","RPS6KB1","BID","SHC1","RBM15","SRC","BRCA2","TP53","TP53BP1","TSC2","XRCC1","XRCC5","CASP7","AKT1S1","CAV1","RAB11A","INPP4B","CCNB1","CCNE1","CCNE2","RAB11B","CDK1","CDH1"
"ACH-000001",0.733572598139159,1.00919713008498,0.967147779281226,1.11552652973035,0.994558301634236,0.726876014647421,1.37358525972162,1.39825495035321,0.742697584882342,0.956233683456174,1.00992087826293,0.960601117009967,1.09863880937937,0.760606132618326,1.04990330753242,1.14051846823685,3.28750955893353,0.784226977078531,0.994558301634236,0.97768332103379,1.6483877600769,0.994558301634236,0.711269425889006,0.736397162517413,1.35189802509262,0.726876014647421,0.849756955494237,0.765979621359811,1.01361312614627,0.726876014647421,0.729637898880809,0.726876014647421,1.00081322907438,0.953194780365645,0.741404797254266,0.726876014647421,1.17732896931653,0.961371407291501,0.967153641097662,0.980463101886056,1.0232646071639,1.00257930156938,0.956233683456174,1.00476082943294,0.93041600232742,0.994929442037718,0.631265889208721,0.706894177642667,1.19901950774305,1.181481164533,1.01056590980581,1.04200010390561,1.17732896931653,1.43658197819819,1.00171151400833,1.19901950774305,0.697515590405325,0.742697584882342,0.93041600232742,1.49404899829093,0.736397162517413,0.97768332103379,1.0301296935243,1.00476082943294,0.957906096269329,0.980463101886056,0.989716910604361,1.00985694449237,3.02833348252932,0.885961007800763,0.754820437578675,1.02368478094778,0.748888085948056
"ACH-000013",0.776918154077543,1.01066009510286,1.02255205614547,1.02103109193844,0.786448892476919,0.755959310151765,1.01677389348713,1.23238594646929,0.766469131785954,0.761598222687851,1.0058598524738,1.01736526837132,0.941239158750576,0.76304876647382,1.01533666195273,1.04198158755146,2.06105867194811,0.748776329423496,1.44928814765632,0.990222359433688,1.42948081598479,1.44928814765632,0.741997697483563,0.788902549851273,1.66599396109843,0.755959310151765,0.790768084431927,0.449924648173419,1.04612247744133,0.755959310151765,0.763619049384551,0.755959310151765,1.0137403149797,1.02469988497765,0.760274698343895,0.755959310151765,1.04097638363097,0.984067459613452,1.22010435577611,1.01754034860709,1.22076596714521,1.02026384224489,0.761598222687851,0.788902549851273,1.01029849688707,0.999226707355749,0.762895979001896,0.744495869566948,1.34337243102558,1.03996259559095,0.762652060039235,1.2579571564112,1.04097638363097,1.21173328020122,1.04006481734309,1.23539173238749,0.762895979001896,0.766469131785954,1.01029849688707,1.56656035248751,0.788902549851273,0.990222359433688,1.02476649832203,0.788902549851273,1.04042393201367,1.01754034860709,0.956462433624653,1.01698734795822,2.29271558971845,1.03612526374788,0.755916079257936,1.58841055766737,0.811906673222692
"ACH-000017",0.858917943932213,0.877610669556859,1.05689337773613,0.637119947201831,0.866617825368309,1.07882477886438,0.876757385230856,1.05755878657169,0.854461626546926,0.884265272018477,0.882563652656181,1.52014633625477,0.791938839949055,3.5302364725638,1.1108182267854,0.869074185748649,1.08556653786498,0.932301421889077,1.08340152332849,0.83716687653554,0.904185004042074,1.08340152332849,1.0476508350736,1.09786820938202,0.866489586710979,1.07882477886438,1.05299495080242,1.05299495080242,1.15924621502742,1.07882477886438,1.07971969734394,1.07882477886438,1.21701225491177,1.50350792664454,1.48228521905122,1.07882477886438,0.893721615978739,1.05573361732797,1.05980852357743,0.876746000036639,1.07882477886438,0.628346856920966,1.21852118306297,1.09786820938202,1.06034973358533,0.859667850830841,0.781573444832721,0.849872692947237,1.03664591557521,0.927804030994054,0.904185004042074,0.637209560398746,0.893721615978739,1.2700513142731,1.20871372965011,1.84022259416232,1.03861380848918,0.854461626546926,1.06034973358533,1.07971969734394,1.09786820938202,0.83716687653554,0.883220024033297,1.05929454738782,2.17836398132936,0.876746000036639,0.860694531362125,0.856492447058794,1.38058953897153,0.367405730997478,0.861461308269525,1.42769585971108,1.49629361037337e-09
"ACH-000019",0.848933328321473,1.0384203425021,1.05828893304388,1.16297118975252,0.851576260769465,0.624391362420032,0.845182609971148,1.34552806362216,1.04453690475783,1.03589010663461,0.871646260133335,0.860814054584932,0.633354223590538,0.619951927341169,1.06495548469626,1.23645512576998,1.03969757012585,1.03589010663461,0.851576260769465,1.03601613401434,0.859810616246461,0.851576260769465,1.2294840119232,1.05327834096797,1.05989177447644,0.615733704748068,0.645559694022467,0.645559694022467,0.85850392772883,0.615733704748068,0.826430469797492,0.615733704748068,0.85850392772883,1.37314562840682,0.81136497021784,0.615733704748068,0.845182609971148,1.05543732653822,1.04777060851871,1.3284415624774,1.06649826446756,1.04777060851871,1.03589010663461,1.0783356553248,0.832519377853558,1.21935339802666,0.831352822604369,0.621571959871616,1.40098411697001,0.860753842121292,0.85850392772883,3.92994214298786,0.845182609971148,0.859921069313076,0.868396530541835,1.06482185513977,1.05373384240011,1.04453690475783,0.832519377853558,1.05209331692211,1.05327834096797,1.03601613401434,1.04777060851871,1.0783356553248,1.05407698180616,1.3284415624774,0.878252054553602,1.04366543502774,1.03963183451172,1.77565955289116,0.625421368973211,1.04777060851871,1.05426776279258
"ACH-000028",0.921319872257768,1.17002050681148,1.07915919561514,1.0448769741339,0.894836383247289,0.681930068009076,0.696361249799076,1.22385726474074,1.03937302810925,0.92448597742501,0.898493075818097,0.914916994481467,0.710134390575483,0.724156907018981,1.17569637419378,1.51308846703722,0.992022180596106,1.49186534394281,0.891374789817566,1.09732644747111,0.908546049431976,0.891374789817566,1.125743174734,0.992022180596106,1.07868523972394,0.700082829222258,0.917361382040439,0.917361382040439,0.899513310069196,0.695672343253946,1.0445678170394,0.692616952430513,0.907378392860107,1.24183963459515,0.682759134113463,0.700082829222258,0.727081847419028,1.0445678170394,1.06083073483273,1.06458385556871,1.13535881443019,1.07584444384106,0.92448597742501,0.992022180596106,0.900812996732771,1.19660362242207,0.900302244351399,0.70231547530677,1.09871183790806,0.896501390329612,1.07721160540195,2.72677168052787,0.71239183522054,1.07049224735948,1.21069253084681,0.921650296571414,1.08132009906447,1.03937302810925,0.900812996732771,1.0445678170394,0.992022180596106,1.09732644747111,0.923492781637796,0.992022180596106,1.08707906234233,1.06458385556871,0.942733711105383,1.00120049906591,0.992022180596106,1.41555905947599,0.709668024991106,1.09940497049594,1.31595885374185
"ACH-000044",1.05407698180616,1.03424707538707,1.01644264493545,1.20859232154214,1.36753975317816,0.573160385757718,0.978315455704704,1.0155327264012,0.582234342692338,1.03778213066068,0.577402466323562,1.03353082400675,2.99505315656703,0.940337104286912,1.36307326507946,1.05045245857061,1.03865435222624,1.02587800655115,1.3684586108782,1.02771112831156,0.835807733504175,1.3684586108782,1.03757697478827,1.03865435222624,1.02460632621664,0.575886865593404,1.01184825636867,1.01184825636867,0.844991094563359,0.591458196424638,0.986513630842113,0.575886865593404,0.844991094563359,1.02135575842893,0.825259781218468,0.575886865593404,0.930556221278192,1.03839776452127,1.04472238779601,0.950238925099256,0.562714662545774,1.03726929293141,1.03778213066068,1.03865435222624,0.946096226893676,1.04843676010684,0.587132422955859,1.05019388856573,1.22792177205691,1.0486433772463,0.849521510019212,0.94686599235874,0.983792079178218,1.03578304282686,1.05324777171286,1.22792177205691,0.574210311155068,0.582234342692338,0.946096226893676,1.01533059851966,1.03865435222624,1.02771112831156,1.04539237445706,1.03865435222624,1.04091419071091,0.950238925099256,1.03051606589534,1.0594776450455,1.06954960916342,1.21831817520605,1.02689613036442,1.01993586644519,0.599506706313346
"ACH-000048",0.889071063083947,1.15471027873776,1.05883949693475,0.895466973164934,1.09856258597501,0.945676410398825,0.888022623230596,1.17077459319663,1.17870398292847,1.18933206027183,0.891940904696812,0.889614948656446,1.10588433895826,1.19007450468935,1.09856258597501,1.39879680702441,0.884435747955478,1.12181526119227,1.09856258597501,1.05883949693475,0.890025552882882,1.09856258597501,1.22782034167852,0.884435747955478,0.891940904696812,0.945676410398825,0.890080341159415,0.890080341159415,0.892514660496966,0.945676410398825,0.899061985387176,0.945676410398825,0.892514660496966,0.889614948656446,1.18162485923281,0.945676410398825,0.888022623230596,0.899061985387176,0.90458600599127,0.92500368700957,0.945676410398825,0.90458600599127,1.18933206027183,0.884435747955478,0.92500368700957,0.891940904696812,0.889886521312827,0.889071063083947,1.18162485923281,1.13866332696496,0.892514660496966,1.19007450468935,0.888022623230596,1.26529735607972,0.902143788905148,0.892516967127249,0.889886521312827,1.17870398292847,0.92500368700957,0.899061985387176,0.884435747955478,1.05883949693475,0.90458600599127,0.884435747955478,0.889614948656446,0.92500368700957,0.899386662931964,0.895466973164934,0.884435747955478,0.818629030362795,0.884435747955478,0.90458600599127,1.13646452345475
"ACH-000091",0.835559752531729,1.03487868128516,1.00734208792759,1.06635196467597,1.01183414193124,0.986996139191763,0.93840715205521,1.0418977524228,0.962642557099231,0.900142096805102,1.02258455283148,0.855900729082733,1.01783438837794,0.962642557099231,0.890099218357324,0.973718826993843,1.13415799614606,1.02647912488561,1.01183414193124,1.00734208792759,1.0008992801011,1.01183414193124,1.02969954361673,1.13415799614606,1.02258455283148,0.986996139191763,1.02742786624928,1.02742786624928,1.01453195940204,0.986996139191763,1.03461658912845,0.986996139191763,1.01453195940204,0.855900729082733,1.04940138264913,0.986996139191763,0.93840715205521,1.03461658912845,1.02969954361673,1.02883349435067,0.986996139191763,1.02969954361673,0.900142096805102,1.13415799614606,1.02883349435067,1.02258455283148,1.03385565310201,0.622312291907636,1.04940138264913,0.858738952590541,1.01453195940204,0.962642557099231,0.93840715205521,1.03487868128516,1.03487868128516,1.04940138264913,1.03385565310201,0.962642557099231,1.02883349435067,1.03461658912845,1.13415799614606,1.00734208792759,1.02969954361673,1.13415799614606,0.855900729082733,1.02883349435067,1.03321424680096,1.06635196467597,0.914421635536509,1.34171409275313,0.914421635536509,1.02969954361673,1.03461658912845
"ACH-000097",1.20357999571831,1.50177630454181,0.986071888548119,0.992137044757914,1.01514213924913,0.888377521069393,1.28264643749672,0.74053318936295,0.739753825586186,0.830528812523072,0.889393132090972,0.986493323521044,1.87758856334819,1.00050158716403,0.993484280422543,1.22959872132437,1.14393958217058,0.73199430148324,1.55224945676891,0.986071888548119,0.964704112519215,1.55224945676891,0.993904431929376,1.14393958217058,0.984703957170184,0.888377521069393,0.988742765278644,0.988742765278644,0.739125013784693,0.888377521069393,1.24075082192268,0.888377521069393,0.747742375714598,0.949351021947308,0.746783453809859,0.888377521069393,1.28264643749672,1.24075082192268,0.993904431929376,1.07400325404505,0.729905477327881,1.0675054882639,0.830528812523072,0.917772685516085,1.07643428333879,0.976662367585321,0.985692159841805,1.20357999571831,1.22600809848057,0.985080946465525,0.745581682677724,1.39787206366868,1.28264643749672,1.56683790651299,0.987749458062909,1.22600809848057,0.985692159841805,0.739753825586186,1.07643428333879,1.24075082192268,1.14393958217058,0.986071888548119,1.0675054882639,1.12907972171045,0.949351021947308,1.07400325404505,0.987926942729308,0.992137044757914,1.11546783672645,1.16951999421719,0.850097969015481,1.0675054882639,1.50995903730533
"ACH-000111",1.47598641187334,1.38876942981224,0.949034778864516,0.880779874648231,1.29651370177507,1.17630117786,0.862518354190554,1.16148701229709,0.870717899191392,1.42887039007085,0.871507504170269,1.41906862510326,1.14381585656922,0.892629074549274,0.857355047310189,1.21479122059627,1.12320271170874,0.876324368134912,1.29651370177507,0.939930589953194,0.8709535475947,1.29651370177507,1.53743669921396,1.12320271170874,0.871507504170269,1.17630117786,1.10908471708754,0.848521512347183,1.42257013179497,1.17630117786,1.18388632013872,1.17630117786,1.42257013179497,1.41906862510326,1.42270242245632,1.17630117786,0.862518354190554,0.870499059683749,1.16722419665859,0.957260453150801,1.18428104683186,0.867242509389642,1.42887039007085,1.13968048746089,0.868823526037706,0.871507504170269,1.09571181024458,0.843807245623619,1.42270242245632,1.16341341754988,0.864344999284578,0.892629074549274,0.862518354190554,1.38876942981224,0.511549521881564,0.868795477147028,1.09571181024458,0.870717899191392,0.868823526037706,0.887820855325582,1.13968048746089,0.939930589953194,0.867242509389642,1.13968048746089,1.41906862510326,0.957260453150801,0.881220431442145,0.880779874648231,1.38854753901072,1.14381585656922,1.38854753901072,1.16722419665859,0.858976716465188
